路線,区間,本数,駅,状態
都営三田線,都営三田線(西高島平〜白金高輪),201,西高島平 新高島平 高島平 西台 蓮根 志村三丁目 志村坂上 本蓮沼 板橋本町 板橋区役所前 新板橋 西巣鴨 巣鴨 千石 白山 春日 水道橋 神保町 大手町 日比谷 内幸町 御成門 芝公園 三田 白金高輪,auto_v2
都営三田線,都営三田線(白金高輪〜目黒),255,白金高輪 白金台 目黒,auto_v2
都営大江戸線,,190,,auto_fail
都電荒川線,都電荒川線(三ノ輪橋〜学習院下),105,三ノ輪橋 荒川一中前 荒川区役所前 荒川二丁目 荒川七丁目 町屋駅前 町屋二丁目 東尾久三丁目 熊野前 宮ノ前 小台 荒川遊園地前 荒川車庫前 梶原 栄町 王子駅前 飛鳥山 滝野川一丁目 西ヶ原四丁目 新庚申塚 庚申塚 巣鴨新田 大塚駅前 向原 東池袋四丁目 都電雑司ヶ谷 鬼子母神前 学習院下,auto_v2
都電荒川線,都電荒川線(学習院下〜早稲田),94,学習院下 面影橋 早稲田,auto_v2
横浜市営ブルーライン,,180,,auto_fail
横浜市営グリーンライン,,166,,auto_v1
京急本線,京急本線(泉岳寺〜大森海岸),178,泉岳寺 品川 北品川 新馬場 青物横丁 鮫洲 立会川 大森海岸,auto_v2
京急本線,京急本線(大森海岸〜浦賀),109,大森海岸 平和島 大森町 梅屋敷 京急蒲田 雑色 六郷土手 京急川崎 八丁畷 鶴見市場 京急鶴見 花月総持寺 生麦 京急新子安 子安 神奈川新町 京急東神奈川 神奈川 横浜 戸部 日ノ出町 黄金町 南太田 井土ヶ谷 弘明寺 上大岡 屏風浦 杉田 京急富岡 能見台 金沢文庫 金沢八景 追浜 京急田浦 安針塚 逸見 汐入 横須賀中央 県立大学 堀ノ内 京急大津 馬堀海岸 浦賀,auto_v2
京急久里浜線,京急久里浜線(堀ノ内〜京急久里浜),138,堀ノ内 新大津 北久里浜 京急久里浜,auto_v2
京急久里浜線,京急久里浜線(京急久里浜〜三崎口),92,京急久里浜 YRP野比 京急長沢 津久井浜 三浦海岸 三崎口,auto_v2
京急逗子線,,114,,auto_v1
